datetime,stationA,stationB,total,Available
2024-02-13 09:00:00,22,16,38,38.0
2024-02-13 10:00:00,22,16,38,38.0
2024-02-13 11:00:00,22,18,40,40.0
2024-02-13 12:00:00,22,18,40,40.0
2024-02-13 13:00:00,18,22,40,40.0
2024-02-13 14:00:00,20,22,42,42.0
2024-02-13 15:00:00,22,20,42,42.0
2024-02-13 16:00:00,20,20,40,40.0
2024-02-13 17:00:00,18,18,36,36.0
2024-02-13 18:00:00,18,18,36,36.0
2024-02-13 19:00:00,16,12,28,28.0
2024-02-13 20:00:00,14,14,28,28.0
2024-02-13 21:00:00,10,16,26,26.0
2024-02-13 22:00:00,12,16,28,28.0
2024-02-13 23:00:00,28,16,44,44.0
2024-02-14 00:00:00,12,18,30,30.0
2024-02-14 01:00:00,36,18,54,54.0
2024-02-14 02:00:00,36,18,54,54.0
2024-02-14 03:00:00,18,20,38,38.0
2024-02-14 04:00:00,18,20,38,38.0
2024-02-14 05:00:00,20,20,40,40.0
2024-02-14 06:00:00,18,20,38,38.0
2024-02-14 07:00:00,18,20,38,38.0
2024-02-14 08:00:00,20,20,40,40.0
2024-02-14 09:00:00,20,20,40,40.0
2024-02-14 10:00:00,16,18,34,34.0
2024-02-14 11:00:00,6,16,22,22.0
2024-02-14 12:00:00,12,14,26,26.0
2024-02-14 13:00:00,14,14,28,28.0
2024-02-14 14:00:00,14,14,28,28.0
2024-02-14 15:00:00,10,16,26,26.0
2024-02-14 16:00:00,14,16,30,30.0
2024-02-14 17:00:00,12,10,22,22.0
2024-02-14 18:00:00,24,10,34,34.0
2024-02-14 19:00:00,14,12,26,26.0
2024-02-14 20:00:00,0,14,14,14.0
2024-02-14 21:00:00,18,18,36,36.0
2024-02-14 22:00:00,20,18,38,38.0
2024-02-14 23:00:00,38,18,56,56.0
2024-02-15 00:00:00,38,22,60,60.0
2024-02-15 01:00:00,38,22,60,60.0
2024-02-15 02:00:00,18,22,40,40.0
2024-02-15 03:00:00,18,20,38,38.0
2024-02-15 04:00:00,18,20,38,38.0
