[INFO] Starting fresh run: mode=immediate_charging
============================================================
Starting series num: 0, Datetime Index: 10536
------------------------------------------------------------
Time 2, Vehicle 21: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 22: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 23: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 24: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 25: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 26: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 27: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 28: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 29: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 30: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 31: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 32: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 2, Vehicle 33: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 2, Vehicle 34: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 35: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 36: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 37: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 38: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 39: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 40: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 2, Vehicle 41: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 42: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 2, Vehicle 43: Current SOC 0.830, Target SOC 0.900, Delta SOC 0.070
Time 2, Vehicle 44: Current SOC 0.540, Target SOC 0.900, Delta SOC 0.360
Time 2, Vehicle 45: Current SOC 0.630, Target SOC 0.900, Delta SOC 0.270
Time 2, Vehicle 46: Current SOC 0.610, Target SOC 0.900, Delta SOC 0.290
Time 2, Vehicle 47: Current SOC 0.690, Target SOC 0.900, Delta SOC 0.210
Time 2, Vehicle 48: Current SOC 0.620, Target SOC 0.900, Delta SOC 0.280
Time 2, Vehicle 49: Current SOC 0.460, Target SOC 0.900, Delta SOC 0.440
Time 2, Vehicle 50: Current SOC 0.210, Target SOC 0.900, Delta SOC 0.690
Time 2, Vehicle 51: Current SOC 0.660, Target SOC 0.900, Delta SOC 0.240
Time 2, Vehicle 52: Current SOC 0.490, Target SOC 0.900, Delta SOC 0.410
Time 2, Vehicle 53: Current SOC 0.540, Target SOC 0.900, Delta SOC 0.360
Time 2, Vehicle 54: Current SOC 0.510, Target SOC 0.900, Delta SOC 0.390
Time 2, Vehicle 55: Current SOC 0.650, Target SOC 0.900, Delta SOC 0.250
Time 2, Vehicle 56: Current SOC 0.620, Target SOC 0.900, Delta SOC 0.280
Time 2, Vehicle 57: Current SOC 0.540, Target SOC 0.900, Delta SOC 0.360
Time 2, Vehicle 58: Current SOC 0.550, Target SOC 0.900, Delta SOC 0.350
Time 2, Vehicle 59: Current SOC 0.710, Target SOC 0.900, Delta SOC 0.190
Time 2, Vehicle 60: Current SOC 0.620, Target SOC 0.900, Delta SOC 0.280
Time 2, Vehicle 61: Current SOC 0.400, Target SOC 0.900, Delta SOC 0.500
Time 2, Vehicle 62: Current SOC 0.270, Target SOC 0.900, Delta SOC 0.630
Time 2, Vehicle 63: Current SOC 0.250, Target SOC 0.900, Delta SOC 0.650
Time 2, Vehicle 64: Current SOC 0.800, Target SOC 0.900, Delta SOC 0.100
Time 2, Vehicle 65: Current SOC 0.390, Target SOC 0.900, Delta SOC 0.510
Time 2, Vehicle 66: Current SOC 0.630, Target SOC 0.900, Delta SOC 0.270
Time 2, Vehicle 67: Current SOC 0.330, Target SOC 0.900, Delta SOC 0.570
Time 2, Vehicle 68: Current SOC 0.340, Target SOC 0.900, Delta SOC 0.560
Time 2, Vehicle 69: Current SOC 0.650, Target SOC 0.900, Delta SOC 0.250
Time 2, Vehicle 70: Current SOC 0.520, Target SOC 0.900, Delta SOC 0.380
Time 2, Vehicle 71: Current SOC 0.320, Target SOC 0.900, Delta SOC 0.580
Time 2, Vehicle 72: Current SOC 0.600, Target SOC 0.900, Delta SOC 0.300
Time 2, Vehicle 73: Current SOC 0.410, Target SOC 0.900, Delta SOC 0.490
Time 2, Vehicle 74: Current SOC 0.470, Target SOC 0.900, Delta SOC 0.430
Time 2, Vehicle 75: Current SOC 0.490, Target SOC 0.900, Delta SOC 0.410
Time 2, Vehicle 76: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 2, Vehicle 77: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 3, Vehicle 4: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 5: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 6: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 7: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 8: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 9: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 10: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 11: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 12: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 13: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 14: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 15: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 16: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 17: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 18: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 19: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 20: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 21: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 22: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 23: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 24: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 25: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 26: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 27: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 28: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 29: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 30: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 31: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 32: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 33: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 34: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 35: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 36: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 37: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 38: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 39: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 40: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 41: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 42: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 43: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 44: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 45: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 46: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 47: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 48: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 49: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 3, Vehicle 50: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 51: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 52: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 53: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 54: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 55: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 56: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 57: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 58: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 59: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 60: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 61: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 62: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 3, Vehicle 63: Current SOC 0.900, Target SOC 0.900, Delta SOC -0.000
Time 3, Vehicle 64: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 65: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 66: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 3, Vehicle 67: Current SOC 0.350, Target SOC 0.900, Delta SOC 0.550
Time 3, Vehicle 68: Current SOC 0.340, Target SOC 0.900, Delta SOC 0.560
Time 3, Vehicle 69: Current SOC 0.650, Target SOC 0.900, Delta SOC 0.250
Time 3, Vehicle 70: Current SOC 0.520, Target SOC 0.900, Delta SOC 0.380
Time 3, Vehicle 71: Current SOC 0.320, Target SOC 0.900, Delta SOC 0.580
Time 3, Vehicle 72: Current SOC 0.600, Target SOC 0.900, Delta SOC 0.300
Time 3, Vehicle 73: Current SOC 0.410, Target SOC 0.900, Delta SOC 0.490
Time 3, Vehicle 74: Current SOC 0.470, Target SOC 0.900, Delta SOC 0.430
Time 3, Vehicle 75: Current SOC 0.490, Target SOC 0.900, Delta SOC 0.410
Time 3, Vehicle 76: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 3, Vehicle 77: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 3, Vehicle 78: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 3, Vehicle 79: Current SOC 0.200, Target SOC 0.900, Delta SOC 0.700
Time 4, Vehicle 8: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 9: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 10: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 11: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 12: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 13: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 14: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 15: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 16: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
Time 4, Vehicle 17: Current SOC 0.900, Target SOC 0.900, Delta SOC 0.000
