Unnamed: 0,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
16,16~17,14.63,136.21,17.77,60.88,0.17,0.09,75.37,9.44,0.74,167.11,14.69,53.73,98.69,0.96,3.07,0.17,49.4,48.09,60.9,3.22,5.84,11.5,0.0,14.53,296.32,30.27,92.41,135.72,2023-09-13 16:00:00
17,17~18,18.37,129.47,16.63,54.25,0.28,0.06,116.97,10.28,1.34,162.37,13.24,50.1,99.03,1.12,3.24,0.16,58.01,44.66,83.45,3.25,4.27,7.81,0.5,1.14,276.27,18.67,90.33,132.09,2023-09-13 17:00:00
18,18~19,20.63,117.85,16.9,44.87,0.43,0.09,130.93,11.11,1.84,152.4,13.35,46.4,92.65,2.6,2.31,0.17,55.98,47.44,58.18,3.19,3.64,6.53,4.79,1.4,252.1,13.96,80.16,125.04,2023-09-13 18:00:00
19,19~20,13.18,102.95,14.91,40.25,0.43,0.1,117.44,8.71,1.84,144.81,10.84,46.03,87.94,3.69,1.92,0.17,59.49,53.76,66.34,3.18,3.56,6.04,4.79,0.84,242.86,11.98,83.07,115.87,2023-09-13 19:00:00
20,20~21,15.82,91.42,12.61,36.88,0.42,0.11,109.28,8.13,1.83,142.19,13.62,44.69,83.88,3.15,1.63,0.16,68.33,59.72,74.8,3.1,2.92,5.68,4.78,1.0,232.06,11.75,81.85,107.69,2023-09-13 20:00:00
21,21~22,16.75,83.5,9.14,37.0,0.43,0.08,85.71,7.82,1.84,133.34,11.91,40.12,81.31,2.83,1.59,0.17,79.5,63.8,176.29,2.5,2.87,5.5,4.76,1.07,230.63,12.08,80.55,107.91,2023-09-13 21:00:00
22,22~23,23.93,75.16,7.88,35.87,0.42,0.1,17.01,6.27,1.8,118.38,8.0,34.41,75.97,2.6,1.57,0.16,94.52,76.08,110.56,2.5,2.87,5.59,4.76,0.82,223.12,11.38,77.32,103.71,2023-09-13 22:00:00
23,23~24,24.07,71.8,8.38,33.81,0.41,0.09,11.95,4.02,1.77,105.8,5.6,27.17,73.03,2.58,1.49,0.17,96.66,85.36,190.28,2.37,2.76,5.07,4.72,0.88,220.31,11.6,75.83,102.82,2023-09-13 23:00:00
0,0~1,19.12,69.54,8.42,33.13,0.42,0.11,11.11,3.48,1.81,100.41,3.31,26.47,70.63,2.25,1.45,0.17,94.97,77.23,115.4,2.38,2.81,4.78,4.73,1.26,218.19,11.87,75.19,101.03,2023-09-14 00:00:00
1,1~2,11.94,67.52,7.68,33.06,0.42,0.1,11.1,3.4,1.8,99.65,4.5,26.81,68.34,1.08,1.47,0.16,81.95,69.23,82.71,2.31,2.8,4.09,4.73,0.76,215.82,11.44,74.81,99.53,2023-09-14 01:00:00
2,2~3,9.44,67.22,7.35,32.63,0.41,0.11,10.73,4.05,1.81,98.61,4.25,26.62,67.74,1.09,1.34,0.17,68.87,64.72,69.85,2.37,2.83,3.98,4.74,0.98,214.12,11.0,74.73,98.59,2023-09-14 02:00:00
3,3~4,8.5,66.54,7.82,32.43,0.43,0.12,12.0,3.54,1.77,96.85,3.72,27.37,65.76,1.1,1.3,0.16,55.59,52.21,59.36,2.35,2.86,4.15,4.75,0.72,211.35,10.93,73.7,96.93,2023-09-14 03:00:00
4,4~5,7.75,65.85,7.27,32.32,0.42,0.01,12.79,3.77,1.81,93.88,2.97,26.13,64.78,1.07,1.39,0.17,53.57,46.6,64.82,2.4,2.87,3.94,4.75,1.79,210.81,11.79,71.87,97.2,2023-09-14 04:00:00
5,5~6,7.25,65.08,7.53,32.0,0.38,0.04,12.18,3.63,1.62,95.17,2.94,26.32,65.91,1.01,1.18,0.17,50.26,46.28,76.59,2.38,2.9,3.27,3.7,0.83,207.05,11.44,71.38,95.21,2023-09-14 05:00:00
6,6~7,10.25,65.64,7.43,32.56,0.16,0.06,11.82,2.96,0.97,95.92,3.49,26.18,66.25,1.18,1.31,0.09,48.32,43.46,51.42,2.34,3.79,3.41,0.0,9.3,208.19,10.15,71.27,96.63,2023-09-14 06:00:00
7,7~8,8.87,68.51,10.24,36.94,0.15,0.03,16.75,2.94,0.71,101.12,4.07,27.58,69.47,0.9,1.34,0.0,48.39,41.77,57.78,2.38,4.02,3.88,0.0,13.84,215.36,10.47,73.58,99.46,2023-09-14 07:00:00
8,8~9,10.31,90.56,12.9,46.18,0.16,0.11,36.78,7.78,0.77,117.37,6.03,36.28,75.06,0.96,1.64,0.0,51.64,45.94,65.98,2.22,5.14,6.38,0.0,3.27,238.76,24.93,75.1,105.97,2023-09-14 08:00:00
9,9~10,14.75,110.57,15.17,56.19,0.17,0.17,46.6,4.96,0.75,142.39,10.22,42.91,89.26,0.96,3.09,0.0,52.62,45.09,62.33,2.56,5.55,9.21,0.0,4.17,283.3,39.13,88.73,116.29,2023-09-14 09:00:00
10,10~11,16.07,127.08,15.49,64.25,0.17,0.18,47.78,9.16,0.78,157.4,16.22,50.06,91.12,0.96,4.07,0.0,48.72,38.65,71.33,3.28,6.07,11.16,0.0,9.96,295.35,39.59,91.73,125.59,2023-09-14 10:00:00
11,11~12,16.87,137.4,15.6,67.5,0.16,0.19,65.63,13.62,0.75,163.23,16.68,52.05,94.5,0.89,4.5,0.0,49.09,39.74,50.37,3.41,6.35,11.46,0.0,17.95,306.55,31.2,101.38,133.81,2023-09-14 11:00:00
12,12~13,17.5,143.47,16.48,67.06,0.18,0.17,59.93,14.85,0.75,167.46,21.19,52.37,93.9,1.25,4.29,0.0,50.22,45.91,52.59,4.18,6.01,10.7,0.0,15.8,307.82,23.4,101.59,141.72,2023-09-14 12:00:00
13,13~14,18.25,143.8,16.32,66.38,0.17,0.19,92.27,12.76,0.71,172.87,21.62,56.99,94.26,0.88,4.5,0.0,46.18,45.14,56.13,4.57,5.11,13.72,0.0,3.36,319.2,24.59,103.72,148.5,2023-09-14 13:00:00
14,14~15,11.69,132.34,15.71,68.5,0.17,0.19,86.65,13.64,1.8,169.75,18.66,56.23,94.86,0.95,4.08,0.0,40.94,34.33,44.61,4.56,5.38,13.53,0.0,4.19,332.21,36.35,103.84,150.32,2023-09-14 14:00:00
15,15~16,12.87,141.11,16.34,65.75,0.18,0.1,81.66,13.68,1.94,163.64,14.13,53.88,95.63,1.01,3.85,0.0,41.08,38.68,64.31,4.31,6.24,13.34,0.0,18.62,332.65,35.81,103.79,151.4,2023-09-14 15:00:00
16,16~17,10.38,135.42,16.03,62.94,0.17,0.09,72.85,13.62,0.87,167.01,13.06,56.42,97.53,1.1,3.66,0.04,43.58,45.25,41.17,4.25,5.76,10.59,0.0,12.98,329.86,35.62,103.43,149.63,2023-09-14 16:00:00
17,17~18,12.94,132.15,16.02,55.93,0.28,0.07,89.89,12.39,1.31,157.47,11.72,52.97,92.78,1.27,2.87,0.17,47.28,51.56,48.98,4.22,4.65,7.66,0.32,1.43,293.66,15.98,101.63,138.28,2023-09-14 17:00:00
18,18~19,20.25,117.93,15.79,45.44,0.44,0.09,97.84,14.13,1.8,155.18,16.87,46.87,91.44,2.23,1.77,0.16,55.89,52.86,61.59,3.69,3.95,6.91,4.89,1.0,272.76,10.49,96.48,132.06,2023-09-14 18:00:00
19,19~20,19.5,104.4,13.29,43.31,0.43,0.1,86.68,11.51,1.81,145.91,15.66,45.88,84.37,3.49,1.8,0.17,57.53,53.78,74.59,3.28,3.61,6.46,4.84,0.89,263.13,9.56,91.59,128.94,2023-09-14 19:00:00
20,20~21,15.12,91.05,12.75,40.88,0.42,0.1,77.46,12.63,1.78,144.58,17.57,45.88,81.13,3.1,1.83,0.17,67.87,64.81,168.1,3.0,2.99,5.82,4.79,1.13,249.44,8.69,81.64,126.43,2023-09-14 20:00:00
21,21~22,18.94,85.52,12.27,38.75,0.42,0.12,53.74,13.23,1.81,136.38,16.24,40.08,80.06,2.87,1.63,0.16,68.74,68.86,94.5,2.97,2.92,5.49,4.77,0.99,238.89,9.01,77.4,120.44,2023-09-14 21:00:00
22,22~23,21.19,75.74,9.11,38.0,0.43,0.1,13.19,12.06,1.78,108.74,5.78,34.71,68.25,2.72,1.72,0.17,95.36,82.17,163.07,2.84,2.93,5.47,4.76,0.79,234.31,8.93,75.87,117.38,2023-09-14 22:00:00
23,23~24,21.25,70.68,9.2,37.37,0.42,0.11,9.87,13.22,1.77,95.2,4.19,30.39,60.62,2.68,1.63,0.16,99.5,84.14,149.51,2.85,2.87,4.88,4.74,1.6,225.37,9.72,75.34,108.87,2023-09-14 23:00:00
0,0~1,19.18,67.29,8.82,34.75,0.41,0.11,10.23,9.68,1.78,93.19,4.28,26.97,61.94,2.29,1.63,0.17,105.36,82.76,95.45,2.84,2.8,4.93,4.73,0.92,215.04,8.47,73.57,101.29,2023-09-15 00:00:00
1,1~2,16.32,66.52,9.18,34.5,0.42,0.1,10.44,8.46,1.78,93.21,4.09,26.58,62.54,1.13,1.63,0.17,83.01,65.64,81.47,2.84,2.8,4.29,4.74,0.74,215.69,8.94,73.07,101.71,2023-09-15 01:00:00
2,2~3,11.93,63.35,8.52,34.0,0.42,0.11,9.91,7.84,1.78,90.98,2.82,26.56,61.6,1.06,1.55,0.16,70.65,54.67,105.62,2.69,2.9,3.88,4.76,1.06,213.88,8.37,73.06,100.84,2023-09-15 02:00:00
3,3~4,7.63,63.7,8.73,33.5,0.41,0.11,10.83,7.8,1.76,89.87,2.78,26.14,60.95,1.11,1.41,0.17,62.47,50.5,129.87,2.72,2.82,4.49,4.74,0.73,209.95,8.28,71.93,98.69,2023-09-15 03:00:00
4,4~5,7.06,63.96,8.4,33.69,0.43,0.02,11.52,7.82,1.78,88.48,2.75,25.5,60.23,1.1,1.5,0.16,57.89,46.89,61.88,2.72,2.86,4.5,4.75,1.01,208.73,8.85,71.86,97.32,2023-09-15 04:00:00
5,5~6,7.31,64.04,8.53,33.5,0.38,0.01,11.69,7.19,1.69,88.18,2.68,26.28,59.22,1.0,1.44,0.17,53.56,44.16,57.66,2.65,2.93,3.66,3.68,1.06,207.03,8.68,71.06,96.81,2023-09-15 05:00:00
6,6~7,7.32,63.86,8.26,34.94,0.16,0.01,11.63,5.02,0.95,86.06,2.54,25.22,58.3,1.24,1.52,0.11,50.57,42.88,54.29,2.57,3.83,4.0,0.0,9.52,210.68,8.15,71.81,98.72,2023-09-15 06:00:00
7,7~8,8.93,65.87,9.71,39.25,0.15,0.05,16.9,3.17,0.72,91.17,2.68,27.55,60.94,1.38,1.49,0.0,50.6,42.29,60.79,2.53,3.8,4.6,0.0,15.87,216.37,8.69,73.24,100.41,2023-09-15 07:00:00
8,8~9,10.94,80.14,11.64,48.62,0.16,0.02,58.29,6.24,0.71,101.1,4.01,34.03,63.06,0.97,1.83,0.0,53.21,45.23,86.62,2.59,4.42,7.68,0.0,3.81,231.13,15.47,77.27,104.9,2023-09-15 08:00:00
9,9~10,11.75,94.67,12.91,57.82,0.15,0.03,71.17,9.3,0.71,121.55,7.0,43.14,71.41,0.98,2.68,0.0,55.54,45.6,75.61,3.31,5.1,11.5,0.0,3.61,266.17,21.88,88.59,117.31,2023-09-15 09:00:00
10,10~11,12.81,126.24,13.5,62.31,0.17,0.04,73.33,9.17,0.69,155.3,11.55,49.28,94.47,0.93,3.59,0.0,50.85,46.33,57.91,3.29,5.73,14.62,0.0,10.59,292.17,21.56,91.46,139.94,2023-09-15 10:00:00
11,11~12,14.63,134.44,14.56,64.5,0.17,0.06,83.23,7.64,0.7,163.93,14.2,54.04,95.69,0.98,3.79,0.0,52.93,51.17,53.57,3.37,6.14,14.85,0.0,21.01,302.4,24.35,91.68,145.29,2023-09-15 11:00:00
12,12~13,15.31,133.26,15.56,66.25,0.17,0.49,85.24,11.48,0.72,165.5,15.15,52.42,97.93,1.11,3.6,0.0,60.3,47.71,52.26,3.47,5.66,11.1,0.0,16.1,314.02,31.81,91.0,148.74,2023-09-15 12:00:00
13,13~14,16.13,134.78,16.36,67.5,0.17,0.34,86.77,16.89,0.72,167.51,15.19,57.37,94.95,1.37,3.54,0.0,48.33,44.28,65.75,3.44,4.83,13.77,0.0,3.63,312.76,30.41,91.69,147.75,2023-09-15 13:00:00
14,14~15,13.81,135.52,17.26,66.25,0.17,0.33,75.06,14.47,0.71,173.62,16.09,61.87,95.66,0.94,3.13,0.0,42.22,43.99,53.36,3.59,5.26,14.06,0.0,4.5,311.26,36.18,88.48,144.76,2023-09-15 14:00:00
15,15~16,14.56,137.95,17.56,61.81,0.17,0.36,70.84,16.03,0.75,171.12,14.81,58.67,97.64,1.19,3.78,0.03,44.13,39.75,80.98,3.72,6.26,14.29,0.0,19.48,309.97,38.53,87.71,143.61,2023-09-15 15:00:00
16,16~17,13.25,139.04,16.13,55.06,0.18,0.06,72.7,14.21,0.81,167.66,15.69,54.02,97.95,1.22,2.9,0.16,47.12,40.05,49.17,3.59,5.68,12.18,0.0,12.29,302.74,34.26,92.29,138.41,2023-09-15 16:00:00
17,17~18,11.75,132.37,14.78,49.57,0.28,0.08,81.15,13.29,1.44,163.44,15.29,54.46,93.69,1.33,2.68,0.17,47.82,39.93,49.82,3.53,4.43,9.51,0.75,1.86,292.19,23.14,97.93,136.63,2023-09-15 17:00:00
18,18~19,14.44,110.08,12.6,41.37,0.43,0.07,79.39,13.89,1.81,157.97,15.84,51.44,90.69,2.34,1.74,0.16,55.9,45.22,50.95,3.32,3.63,7.4,4.81,0.77,269.23,9.73,91.48,135.5,2023-09-15 18:00:00
19,19~20,16.44,94.91,9.96,38.69,0.42,0.09,71.3,13.67,1.84,149.27,17.38,49.77,82.12,3.7,1.8,0.17,56.52,48.88,51.46,2.09,3.49,6.94,4.79,1.02,244.21,7.46,78.64,125.97,2023-09-15 19:00:00
20,20~21,18.37,86.24,9.02,35.75,0.42,0.1,63.81,15.72,1.8,134.33,14.9,39.81,79.62,3.54,1.65,0.17,55.33,56.88,71.77,2.0,2.93,6.53,4.78,0.94,231.71,7.67,74.04,119.5,2023-09-15 20:00:00
21,21~22,19.56,75.94,7.71,35.25,0.43,0.11,45.33,14.86,1.81,127.87,14.28,36.28,77.31,2.9,1.65,0.16,65.1,62.52,84.54,2.03,2.93,6.03,4.74,0.75,231.64,6.58,73.64,120.56,2023-09-15 21:00:00
22,22~23,14.88,71.94,7.24,34.31,0.41,0.11,11.71,13.38,1.77,118.7,12.53,33.48,72.69,2.74,1.76,0.17,71.86,69.15,128.8,2.03,2.89,6.0,4.76,0.98,226.54,7.88,74.19,114.65,2023-09-15 22:00:00
23,23~24,15.06,68.35,7.27,33.63,0.41,0.09,10.01,5.77,1.77,109.41,8.94,31.34,69.13,2.73,1.49,0.17,76.06,70.43,140.01,2.03,2.83,5.47,4.73,0.85,216.88,7.54,73.75,105.5,2023-09-15 23:00:00
0,0~1,17.19,63.97,7.51,32.56,0.42,0.11,10.06,4.32,1.78,103.76,4.94,32.07,66.75,2.31,1.65,0.16,90.11,67.95,89.5,2.07,2.83,5.28,4.72,0.97,211.32,7.22,73.47,100.32,2023-09-16 00:00:00
1,1~2,12.56,64.23,7.0,32.69,0.41,0.1,9.76,4.05,1.74,103.65,4.68,31.38,67.59,1.23,1.62,0.17,80.07,63.55,78.46,2.06,2.83,4.75,4.74,0.71,209.08,6.65,73.38,99.22,2023-09-16 01:00:00
2,2~3,8.19,63.72,6.99,31.56,0.42,0.11,10.16,3.93,1.78,103.71,4.72,31.96,67.03,1.42,1.44,0.16,65.75,55.58,100.48,2.03,2.87,4.63,4.77,0.87,207.53,7.44,72.76,97.31,2023-09-16 02:00:00
3,3~4,7.69,62.01,7.87,31.25,0.41,0.12,10.96,3.76,1.78,100.7,4.56,30.86,65.28,1.43,1.6,0.17,56.13,49.28,128.38,1.94,2.82,5.09,4.76,1.27,205.87,7.34,72.02,96.78,2023-09-16 03:00:00
4,4~5,7.62,61.59,7.84,30.81,0.41,0.1,11.38,3.9,1.77,101.08,4.56,31.29,65.23,1.14,1.31,0.17,51.14,43.58,57.47,1.9,2.87,4.84,4.77,1.39,204.57,6.9,71.33,96.91,2023-09-16 04:00:00
5,5~6,7.0,60.96,7.05,30.94,0.39,0.11,11.45,3.83,1.59,100.38,4.48,30.66,65.24,1.08,1.57,0.16,48.57,43.02,54.85,1.91,2.89,4.44,3.62,1.0,203.49,6.91,70.9,96.34,2023-09-16 05:00:00
6,6~7,6.56,61.66,6.81,30.69,0.15,0.08,10.84,3.44,0.95,98.51,3.68,29.05,65.78,0.93,1.34,0.07,47.78,38.85,52.97,1.84,3.48,4.28,0.0,0.7,206.08,8.0,71.32,97.37,2023-09-16 06:00:00
7,7~8,7.07,62.67,7.28,32.0,0.15,0.06,33.98,3.71,0.69,97.28,3.41,27.22,66.65,1.07,1.59,0.0,47.36,36.46,57.03,1.72,3.69,4.51,0.0,0.87,209.64,6.5,74.58,98.19,2023-09-16 07:00:00
8,8~9,7.68,66.22,7.14,34.18,0.15,0.07,142.55,5.51,0.71,111.79,3.75,35.29,72.75,1.3,1.5,0.0,47.87,42.94,82.96,1.75,4.45,7.18,0.0,1.0,219.67,6.88,75.57,107.13,2023-09-16 08:00:00
9,9~10,10.5,79.98,7.83,38.5,0.16,0.06,159.41,6.03,0.74,124.33,4.35,38.04,81.94,0.98,1.96,0.0,56.63,42.36,70.6,1.78,4.83,11.59,0.0,0.64,230.08,7.84,77.26,113.93,2023-09-16 09:00:00
10,10~11,11.5,88.58,9.37,39.69,0.15,0.06,161.16,6.15,0.75,133.41,4.06,40.47,88.88,1.07,2.31,0.0,58.49,46.86,63.15,3.1,4.93,13.03,0.0,0.9,235.54,7.13,77.91,119.91,2023-09-16 10:00:00
11,11~12,12.57,98.69,9.4,41.06,0.16,0.02,162.23,5.09,0.71,131.41,5.21,38.6,87.6,1.32,2.76,0.0,62.06,45.54,64.52,3.15,4.83,13.53,0.0,0.94,240.22,6.96,79.1,123.26,2023-09-16 11:00:00
12,12~13,15.68,99.98,9.12,45.07,0.16,0.04,159.15,7.82,0.74,133.29,6.29,39.35,87.65,0.96,4.53,0.0,60.66,49.26,60.72,3.25,4.86,13.04,0.0,0.73,243.22,7.79,80.38,124.08,2023-09-16 12:00:00
13,13~14,14.32,102.83,9.22,46.87,0.16,0.03,149.25,11.65,0.75,130.12,5.12,40.25,84.75,1.26,4.35,0.0,54.72,48.39,56.38,3.25,4.86,13.87,0.0,0.98,250.35,7.69,80.36,130.91,2023-09-16 13:00:00
14,14~15,13.25,99.18,9.38,46.06,0.16,0.04,148.23,9.43,0.75,137.13,7.26,46.49,83.38,1.08,3.13,0.0,52.99,45.99,71.8,3.25,4.88,13.6,0.0,0.75,253.24,7.18,80.01,134.6,2023-09-16 14:00:00
15,15~16,10.12,98.8,9.54,45.63,0.16,0.05,143.51,5.86,0.75,143.42,8.83,47.84,86.75,1.05,2.48,0.0,48.85,43.76,69.69,3.54,4.85,13.84,0.0,1.47,258.54,7.81,80.83,138.19,2023-09-16 15:00:00
16,16~17,10.38,98.21,10.13,42.19,0.16,0.06,128.88,5.25,0.81,142.21,7.57,50.52,84.12,1.02,2.01,0.03,51.15,45.91,57.82,4.37,4.73,12.84,0.0,0.98,263.84,7.38,95.47,129.74,2023-09-16 16:00:00
17,17~18,12.87,87.46,9.97,38.56,0.27,0.09,82.04,5.33,1.37,139.87,7.31,49.31,83.25,1.27,1.97,0.17,47.23,43.57,49.32,4.19,4.67,8.72,0.29,0.87,255.13,7.12,100.46,116.13,2023-09-16 17:00:00
18,18~19,13.44,74.71,9.39,36.31,0.41,0.1,25.57,5.87,1.84,132.68,10.43,42.13,80.12,2.31,2.02,0.17,44.48,50.66,49.77,3.06,4.56,7.31,4.83,0.77,238.25,7.13,82.45,118.31,2023-09-16 18:00:00
19,19~20,11.94,73.6,8.76,36.56,0.41,0.1,17.51,7.33,1.78,124.13,7.98,38.64,77.51,3.74,1.86,0.16,49.66,48.27,53.46,3.06,3.82,6.78,4.81,0.72,237.55,6.88,79.99,119.47,2023-09-16 19:00:00
20,20~21,13.5,74.7,7.92,37.13,0.42,0.1,17.07,7.78,1.81,118.5,7.59,35.48,75.43,3.5,1.92,0.17,56.91,46.23,68.43,2.97,3.05,6.72,4.8,1.2,234.55,7.59,79.02,117.57,2023-09-16 20:00:00
21,21~22,18.43,74.04,8.0,35.69,0.41,0.11,16.08,6.92,1.81,115.63,7.0,35.35,73.28,3.15,1.8,0.17,66.28,60.75,84.11,2.88,2.99,6.38,4.77,0.8,230.28,7.34,77.91,114.71,2023-09-16 21:00:00
22,22~23,18.63,72.28,7.75,34.68,0.42,0.11,12.38,7.59,1.81,110.49,5.19,33.3,72.0,2.8,1.76,0.16,76.41,67.63,72.98,2.47,2.93,6.21,4.78,0.77,220.18,7.13,73.97,108.91,2023-09-16 22:00:00
23,23~24,15.87,69.34,7.84,33.25,0.41,0.1,10.76,7.55,1.78,105.08,4.09,29.48,71.51,2.7,1.66,0.17,79.39,81.22,177.63,2.43,2.96,5.82,4.75,1.07,216.51,6.87,73.81,105.72,2023-09-16 23:00:00
0,0~1,13.63,67.75,7.2,31.82,0.41,0.11,10.72,8.09,1.74,103.26,3.66,29.86,69.74,2.24,1.44,0.16,86.54,71.37,88.74,2.53,2.86,5.57,4.75,0.73,215.79,7.78,72.93,104.69,2023-09-17 00:00:00
1,1~2,10.56,64.51,7.42,32.0,0.41,0.09,10.79,7.96,1.77,100.65,3.75,29.4,67.5,1.1,1.57,0.17,79.14,59.46,76.12,2.5,2.84,5.0,4.76,0.83,212.18,6.94,72.84,102.84,2023-09-17 01:00:00
2,2~3,8.75,64.35,7.22,31.87,0.42,0.1,11.45,7.61,1.78,99.01,3.62,29.79,65.6,1.12,1.61,0.16,66.01,52.61,68.39,2.41,2.85,4.72,4.77,1.79,210.96,7.25,72.4,101.56,2023-09-17 02:00:00
3,3~4,11.19,63.6,7.46,31.75,0.41,0.11,11.63,7.31,1.78,94.86,3.63,26.76,64.47,1.15,1.54,0.17,56.23,49.52,61.52,2.44,2.91,5.4,4.77,0.84,210.12,7.59,72.14,100.53,2023-09-17 03:00:00
4,4~5,8.31,64.2,7.04,31.75,0.42,0.12,12.79,7.37,1.77,96.44,3.62,27.23,65.59,1.11,1.43,0.17,51.22,44.88,56.23,2.44,2.86,5.41,4.77,0.99,208.32,6.56,72.16,99.91,2023-09-17 04:00:00
5,5~6,6.75,63.47,7.35,31.5,0.38,0.11,11.95,5.77,1.59,95.54,3.5,26.76,65.28,0.95,1.5,0.16,49.86,43.32,84.89,2.4,2.92,4.93,3.86,0.73,207.9,6.85,71.52,100.25,2023-09-17 05:00:00
6,6~7,6.88,63.77,6.78,31.81,0.16,0.17,11.46,5.63,1.0,94.9,3.5,26.41,64.99,1.06,1.43,0.09,47.02,39.65,52.86,2.41,3.55,5.0,0.05,0.92,207.41,7.53,71.71,99.09,2023-09-17 06:00:00
7,7~8,7.43,64.23,7.35,32.32,0.14,0.08,16.0,4.59,0.71,95.72,3.47,25.49,66.76,1.16,1.63,0.0,48.3,40.0,57.27,2.4,3.74,5.35,0.0,0.96,213.9,7.16,72.76,103.63,2023-09-17 07:00:00
8,8~9,8.0,70.51,7.47,34.06,0.16,0.06,46.47,4.6,0.74,101.67,3.44,30.38,67.85,0.91,1.72,0.0,52.34,41.2,62.76,2.41,4.74,7.43,0.0,0.66,219.55,7.31,73.96,108.18,2023-09-17 08:00:00
9,9~10,8.44,74.23,7.56,35.0,0.15,0.06,51.16,5.34,0.75,110.0,3.69,29.25,77.06,0.94,2.1,0.0,58.41,46.53,61.03,2.81,4.84,10.38,0.0,0.87,225.74,7.81,75.56,111.6,2023-09-17 09:00:00
10,10~11,11.31,81.82,10.54,36.81,0.16,0.76,61.67,4.45,0.71,118.25,3.74,32.08,82.43,0.92,2.2,0.0,60.37,50.38,83.62,2.91,4.85,12.22,0.0,1.04,232.81,7.72,77.87,116.31,2023-09-17 10:00:00
11,11~12,11.75,87.37,11.01,38.56,0.15,0.94,59.2,4.43,0.74,122.14,4.44,31.41,86.29,0.97,2.22,0.0,58.94,50.38,64.93,3.12,4.86,12.44,0.0,0.87,238.22,6.85,78.12,122.43,2023-09-17 11:00:00
12,12~13,10.0,87.96,9.55,37.75,0.15,0.66,55.41,3.99,0.75,135.27,5.47,40.81,88.99,1.5,3.94,0.0,62.58,47.08,59.17,3.22,4.79,10.25,0.0,0.68,240.71,7.68,77.74,124.07,2023-09-17 12:00:00
13,13~14,13.38,94.53,12.47,41.63,0.16,0.04,48.61,8.61,0.75,141.11,4.72,45.66,90.73,0.99,3.31,0.0,55.88,43.29,56.89,3.19,4.8,13.37,0.0,0.99,239.77,7.28,77.7,123.57,2023-09-17 13:00:00
14,14~15,13.12,96.81,13.28,44.87,0.16,0.04,51.76,9.02,0.72,145.34,4.79,46.97,93.58,1.32,2.65,0.0,55.32,45.91,60.67,3.22,4.84,13.47,0.0,1.4,244.45,7.28,79.07,126.52,2023-09-17 14:00:00
15,15~16,12.25,98.68,12.89,45.44,0.16,0.05,44.58,8.49,0.74,145.76,6.53,49.16,90.07,1.01,2.75,0.0,56.73,48.81,58.45,3.28,4.82,13.31,0.0,0.73,247.33,8.19,79.28,128.41,2023-09-17 15:00:00
16,16~17,12.63,99.23,11.92,43.31,0.16,0.03,43.42,8.51,0.81,151.66,8.78,50.19,92.69,1.07,2.46,0.0,55.96,49.28,87.71,1.91,4.74,10.41,0.0,1.17,246.58,7.82,79.67,127.44,2023-09-17 16:00:00
17,17~18,14.5,91.56,9.64,40.44,0.27,0.04,20.59,8.41,1.34,150.61,7.9,52.09,90.62,1.17,2.32,0.12,52.54,59.62,58.48,2.03,4.6,8.25,0.35,0.73,242.54,6.93,78.19,126.28,2023-09-17 17:00:00
18,18~19,16.0,83.22,9.13,38.0,0.41,0.09,15.27,10.36,1.81,140.02,6.76,48.88,84.38,2.28,1.98,0.16,54.31,50.45,59.38,2.09,4.59,6.84,4.79,0.82,238.5,7.41,76.62,123.66,2023-09-17 18:00:00
19,19~20,15.81,81.1,9.03,37.13,0.41,0.09,14.98,10.36,1.81,137.56,8.8,49.23,79.53,3.55,1.89,0.17,59.3,57.01,109.7,2.1,3.68,6.56,4.79,1.03,235.14,7.06,76.54,120.8,2023-09-17 19:00:00
20,20~21,18.25,74.54,8.88,37.18,0.41,0.09,14.45,10.3,1.81,125.76,6.63,44.97,74.16,3.44,1.98,0.17,73.62,73.13,133.14,2.09,3.04,6.13,4.77,0.74,233.38,7.37,75.93,119.32,2023-09-17 20:00:00
21,21~22,26.25,72.81,10.09,36.25,0.42,0.12,13.59,12.51,1.78,119.94,5.53,38.97,75.44,2.74,1.82,0.16,76.19,77.13,89.02,2.06,3.05,5.97,4.79,0.98,231.14,7.35,76.28,117.18,2023-09-17 21:00:00
22,22~23,23.81,70.6,9.53,35.44,0.41,0.11,11.08,7.67,1.78,110.16,5.16,32.66,72.34,2.7,1.78,0.17,88.95,84.64,125.14,2.1,2.99,5.93,4.75,1.03,229.69,7.65,75.98,115.66,2023-09-17 22:00:00
23,23~24,20.13,70.0,9.14,34.69,0.41,0.09,10.08,4.88,1.75,106.55,4.12,30.37,72.06,2.56,1.84,0.16,99.66,80.96,173.33,2.09,2.86,5.38,4.72,0.73,223.75,7.01,74.37,112.34,2023-09-17 23:00:00
0,0~1,20.31,67.45,9.02,34.62,0.41,0.1,10.15,3.76,1.72,100.62,3.88,28.31,68.43,2.17,1.74,0.17,91.2,77.87,102.92,2.06,2.8,4.93,4.74,0.77,222.2,7.28,74.0,111.6,2023-09-18 00:00:00
